* 1 [가뭄이 들어 백성들이 크게 고통 받고있습니다. 곳간을 열어 민심을 달래시겠습니까? ] [온나라의 백성들이 폐하의 큰 덕을 칭송합니다.] 商 -20 民 +20 , [항산의 부재로 굶주린 백성들이 봉기를 일으킵니다.] 民 -30 士 -10 商 +20 ,
* 2 [집현전에 사대부들이 모여 새 문묘를 세울 것을 요청합니다. 필요한 자원을 지원하시겠습니까?] [전국의 선비들이 환호하며 문묘제례가 이루어집니다.] 商 -20 士 +20 , [분노한 사대부들의 상소가 올라옵니다]  士 -20 商 +20 ,
* 3 [바다 건너 왜구의 출몰이 목격됩니다. 수군절도사가 전라 및 경상우수영의 대규모 정비를 요구했습니다. 이에 응하시겠습니까?] [왜적의 침입을 조기에 차단했습니다.] 商 -30 軍 +25 , [왜적의 침입을 막아냈지만 희생이 필요했습니다] 軍 -10 商 +10 ,
* 4 [돌림병이 도성 주변에 퍼지고 있습니다. 백성들의 구제를 위해 돈을 들여 의원을 파견하겠습니까?] [돌리병은 그쳤고 민심도 안정되었습니다.] 商 -20 民 +20 , [분노한 백성들이 도성을 넘어옵니다]  民 -30 士 +10 ,
* 5 [상공업을 진흥시키자는 실학파가 득세하고 있습니다. 조정 사대부의 의견에 따라 불손한 실학자들을 유배 보내시겠습니까?] [조정을 어지럽히는 사문난적은 잘 처리되었습니다] 商 -20 士 +20 , [실학파 주도로 제도가 개선되고 새로운 상인 계층이 등장했습니다] 士 -20 商 +20 民 +10 ,
* 6 [홍수가 발생해 백성들의 신음 소리가 사방에서 들려옵니다. 곳간을 열어 구제하시겠습니까? ] [백성과 사대부 모두 왕의 덕치에 만세를 외칩니다.] 商 -30 民 +20 士 +10 , [궁핍한 백성들이 도성에 모여 농성 중입니다] 民 -20 商 +5 士 -5 ,
* 7 [명의 상인들이 새로운 무역망을 요구합니다. 예술품을 팔려는 이 자들과 거래하시겠습니까? ] [아무런 가치는 없으나 예술품을 수집하는 데 성공했습니다] 商 -10 , [사대부들이 전하의 혜안에 절을 올립니다.]  民 +10 ,
* 8 [압록강 이남으로 여진족이 침입해 많은 백성들이 고통받고 있습니다. 북방 오랑캐를 정벌하기 위해 군을 움직이시겠습니까? ] [도망친 백성들이 고향으로 돌아오고 있습니다.] 民 +15 軍 -5 , [고향으로 돌아갈 수 없는 백성들의 원망이 들려옵니다] 民 -20 ,
* 9 [서원 출신 사대부가 늘어나고 있습니다. 서원을 정리해 이들을 견제하시겠습니까?] [지방의 선비들이 도성에 옹기종기 모여 항의합니다] 士 -10 , [서원의 사대부가 점차 조정을 장악해 갑니다] 士 +10 ,
* 10 [무인들이 조정 관리들의 인사에 불만을 품고 상소를 올렸습니다. 상소에 맞게 병마절도사를 새로 임명하시겠습니까?] [적절한 인사로 변경의 방비가 강화되었으나 관리들의 표정이 오묘합니다] 軍 +10 士 -5 , [방비는 약화되었으나 관리는 폐하의 지혜에 감탄하고 있습니다.] 軍 -5 士 +10 ,
* 11 [성균관 유생들이 저잣거리에서 소동을 일으키다 붙잡혔습니다. 민심을 위해 이들을 엄히 벌하시겠습니까?] [이후 분노한 필체의 상소가 올라왔으나 전부 폐기했습니다.] 士 -10 民 +10 , [유생들이 잔치를 벌이며 태평성대를 노래합니다] 士 +10 民 -10 ,
* 12 [전하! 역모입니다! 지금 당장 의금부를 동원해 역적들을 잡아 들이셔야 합니다.] [역모의 진의는 확실치 않으나 조정을 장악한 다수의 사대부들은 만족하고 있습니다] 民 +25 , [아무 일도 없었지만 다수의 사대부들이 불만을 가지게 되었습니다] 民 -20 ,
* 13 [명에서 들어온 새로운 서적들이 민간에서 퍼지고 있습니다. 조정 대신들의 의견에 따라 불온한 서적들을 금하시겠습니까?] [백성들을 어지럽히고 학문을 왜곡하는 서적을 색출했습니다] 士 +10 , [민간에서 새로운 글이 발달했으나 사대부들의 입맛에는 안 맞나 봅니다.] 民 +10 士 -10 ,
* 14 [밭을 깊게 파 물을 가득 채우는 해괴한 농법이 유행한다는 상소입니다. 이것들을 모두 금하시겠습니까?] [불필요하게 물을 낭비하는 농법을 금했으나 알 수 없는 이유로 수확량이 줄었습니다] 商 -10 , [폐하의 은혜에 힘입어 올해도 어김없이 풍년입니다!] 商 +20 ,
* 15 [류큐의 사신들이 폐하께 조공을 받치러 왔습니다. 자신들을 위협하는 왜구를 소탕해 달라는 사신의 청을 받아 들이시겠습니까?] [왜구를 성공적으로 쫓아내어 사신들이 또 조공을 들고 찾아왔습니다.] 商 +20 軍 -10 , [류큐의 사신들이 어찌할 바를 모르고 물러납니다] 商 +10 ,
* 16 [명륜당을 증축하다 대량의 은전을 발견했습니다. 이참에 명륜당 더 크게 짓는 데에 사용하시겠습니까?] [거대한 명륜당을 바라보는 유생들이 기뻐하고 있습니다] 士 +10 , [이 은전은 모조리 폐하의 것입니다!] 商 +20 ,
